0:0:0:0:0:0:0:1 - - [03/Sep/2024:12:38:53 +0900] "GET /testj/views/testjs/sample2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2024:12:38:53 +0900] "GET /testj/views/testjs/sample2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2024:12:52:44 +0900] "GET /testj/views/testjs/sample2.html HTTP/1.1" 200 2375
0:0:0:0:0:0:0:1 - - [03/Sep/2024:12:52:44 +0900] "GET /testj/resources/js/main.js HTTP/1.1" 200 1612
0:0:0:0:0:0:0:1 - - [03/Sep/2024:12:58:26 +0900] "GET /testj/views/testjs/sample2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2024:12:58:26 +0900] "GET /testj/resources/js/main.js HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [03/Sep/2024:12:58:26 +0900] "GET /testj/views/testjs/sample2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2024:13:06:56 +0900] "GET /testj/views/testjs/sample2.html HTTP/1.1" 200 2478
0:0:0:0:0:0:0:1 - - [03/Sep/2024:13:06:56 +0900] "GET /testj/resources/js/main.js HTTP/1.1" 200 2275
0:0:0:0:0:0:0:1 - - [03/Sep/2024:13:06:56 +0900] "GET /testj/views/testjs/sample2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2024:13:06:56 +0900] "GET /testj/views/testjs/sample2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2024:13:06:56 +0900] "GET /testj/views/testjs/sample2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2024:13:06:57 +0900] "GET /testj/views/testjs/sample2.html HTTP/1.1" 304 -
